gid,st_x,st_y
1002214,-62.151001,63.312
1002215,-62.57,63.426998
1002216,-62.991001,63.541
1002217,-63.417,63.653999
1002218,-63.845001,63.764999
1002219,-64.277,63.875
1002220,-64.711998,63.984001
1002221,-65.150002,64.091003
1002222,-65.592003,64.196999
1002223,-66.038002,64.302002
1002224,-66.486,64.405998
1002225,-66.938004,64.508003
1002226,-67.393997,64.608002
1002227,-67.852997,64.707001
1003000,-18.16,25.903
1003001,-18.263,26.103001
1003002,-18.367001,26.302
1003003,-18.471001,26.500999
1003004,-18.575001,26.700001
1003005,-18.68,26.9
1003006,-18.785,27.099001
1003007,-18.891001,27.298
1003008,-18.996,27.497
1003009,-19.103001,27.695
1003010,-19.209,27.893999
1003011,-19.316,28.093
1003012,-19.424,28.291
1003013,-19.532,28.49
1003014,-19.639999,28.688
1003015,-19.747999,28.886999
1003016,-19.857,29.084999
1003017,-19.966999,29.283001
1003018,-20.077,29.481001
1003019,-20.187,29.679001
1003020,-20.298,29.877001
1003021,-20.409,30.075001
1003022,-20.521,30.273001
1003023,-20.632999,30.469999
1003024,-20.745001,30.667999
1003025,-20.858,30.865
1003026,-20.972,31.062
1003027,-21.086,31.26
1003028,-21.200001,31.457001
1003029,-21.315001,31.653999
1003030,-21.43,31.851
1003031,-21.546,32.047001
1003032,-21.663,32.243999
1003033,-21.780001,32.441002
1003034,-21.896999,32.637001
1003035,-22.014999,32.834
1003036,-22.132999,33.029999
1003037,-22.252001,33.226002
1003038,-22.372,33.422001
1003039,-22.492001,33.618
1003040,-22.612,33.813999
1003041,-22.733999,34.008999
1003042,-22.855,34.205002
1003043,-22.978001,34.400002
1003044,-23.1,34.596001
1003045,-23.224001,34.791
1003046,-23.348,34.986
1003047,-23.472,35.181
1003048,-23.598,35.375999
1003049,-23.723,35.57
1003050,-23.85,35.764999
1003051,-23.976999,35.959
1003052,-24.105,36.153999
1003053,-24.233,36.348
1003054,-24.362,36.542
1003055,-24.490999,36.736
1003056,-24.622,36.929001
1003057,-24.753,37.123001
1003058,-24.884001,37.317001
1003059,-25.016001,37.509998
1003060,-25.149,37.702999
1003061,-25.283001,37.896
1003062,-25.417,38.089001
1003063,-25.552,38.282001
1003064,-25.688,38.473999
1003065,-25.825001,38.666
1003066,-25.962,38.859001
1003067,-26.1,39.050999
1003068,-26.239,39.243
1003069,-26.378,39.433998
1003070,-26.518,39.625999
1003071,-26.659,39.817001
1003072,-26.801001,40.008999
1003073,-26.944,40.200001
1003074,-27.087,40.389999
1003075,-27.231001,40.581001
1003076,-27.377001,40.771999
1003077,-27.521999,40.962002
1003078,-27.669001,41.152
1003079,-27.816999,41.341999
1003080,-27.965,41.532001
1003081,-28.115,41.721001
1003082,-28.264999,41.910999
1003083,-28.416,42.099998
1003084,-28.568001,42.289001
1003085,-28.721001,42.478001
1003086,-28.875,42.666
1003087,-29.028999,42.855
1003088,-29.184999,43.042999
1003089,-29.341999,43.230999
1003090,-29.5,43.418999
1003091,-29.658001,43.605999
1003092,-29.818001,43.792999
1003093,-29.978001,43.980999
1003094,-30.139999,44.167
1003095,-30.302999,44.354
1003096,-30.466,44.540001
1003097,-30.631001,44.727001
1003098,-30.797001,44.911999
1003099,-30.964001,45.098
1003100,-31.132,45.284
1003101,-31.301001,45.469002
1003102,-31.471001,45.653999
1003103,-31.643,45.838001
1003104,-31.815001,46.022999
1003105,-31.989,46.207001
1003106,-32.162998,46.390999
1003107,-32.339001,46.574001
1003108,-32.516998,46.757999
1003109,-32.695,46.941002
1003110,-32.875,47.124001
1003111,-33.055,47.306
1003112,-33.237999,47.487999
1003113,-33.421001,47.669998
1003114,-33.605999,47.852001
1003115,-33.791,48.033001
1003116,-33.979,48.214001
1003117,-34.167,48.395
1003118,-34.356998,48.576
1003119,-34.549,48.756001
1003120,-34.741001,48.935001
1003121,-34.935001,49.115002
1003122,-35.131001,49.293999
1003123,-35.327999,49.473
1003124,-35.526001,49.651001
1003125,-35.726002,49.828999
1003126,-35.926998,50.007
1003127,-36.130001,50.185001
1003128,-36.334,50.362
1003129,-36.540001,50.537998
1003130,-36.747002,50.715
1003131,-36.956001,50.890999
1003132,-37.166,51.066002
1003133,-37.379002,51.242001
1003134,-37.591999,51.416
1003135,-37.807999,51.591
1003136,-38.025002,51.764999
1003137,-38.243,51.938999
1003138,-38.464001,52.112
1003139,-38.686001,52.285
1003140,-38.91,52.457001
1003141,-39.134998,52.629002
1003142,-39.362999,52.800999
1003143,-39.591999,52.972
1003144,-39.823002,53.141998
1003145,-40.055,53.313
1003146,-40.290001,53.481998
1003147,-40.527,53.652
1003148,-40.764999,53.820999
1003149,-41.006001,53.988998
1003150,-41.248001,54.157001
1003151,-41.492001,54.324001
1003152,-41.738998,54.491001
1003153,-41.987,54.657001
1003154,-42.237,54.823002
1003155,-42.490002,54.988998
1003156,-42.743999,55.153
1003157,-43.000999,55.318001
1003158,-43.259998,55.480999
1003159,-43.521,55.645
1003160,-43.784,55.806999
1003161,-44.049,55.969002
1003162,-44.316002,56.131001
1003163,-44.585999,56.292
1003164,-44.858002,56.452
1003165,-45.132999,56.612
1003166,-45.409,56.771
1003167,-45.688,56.929001
1003168,-45.970001,57.087002
1003169,-46.254002,57.243999
1003170,-46.540001,57.401001
1003171,-46.827999,57.556999
1003172,-47.119999,57.712002
1003173,-47.412998,57.867001
1003174,-47.709,58.021
1003175,-48.007999,58.174
1003176,-48.310001,58.326
1003177,-48.612999,58.478001
1003178,-48.919998,58.629002
1003179,-49.229,58.779999
1003180,-49.541,58.929001
1003181,-49.855999,59.077999
1003182,-50.173,59.226002
1003183,-50.493,59.373001
1003184,-50.816002,59.52
1003185,-51.141998,59.666
1003186,-51.470001,59.810001
1003187,-51.801998,59.953999
1003188,-52.136002,60.098
1003189,-52.473,60.240002
1003190,-52.813,60.382
1003191,-53.155998,60.521999
1003192,-53.501999,60.661999
1003193,-53.852001,60.800999
1003194,-54.203999,60.938999
1003195,-54.558998,61.076
1003196,-54.917,61.212002
1003197,-55.278,61.347
1003198,-55.643002,61.480999
1003199,-56.009998,61.613998
1003200,-56.381001,61.745998
1003201,-56.755001,61.876999
1003202,-57.132,62.007
1003203,-57.513,62.137001
1003204,-57.896,62.264999
1003205,-58.283001,62.391998
1003206,-58.673,62.516998
1003207,-59.067001,62.641998
1003208,-59.463001,62.765999
1003209,-59.862999,62.888
1003210,-60.266998,63.009998
1003211,-60.674,63.130001
1003212,-61.084,63.249001
1003213,-61.497002,63.367001
1003214,-61.914001,63.484001
1003215,-62.334999,63.598999
1003216,-62.757999,63.713001
1003217,-63.185001,63.826
1003218,-63.616001,63.938
1003219,-64.050003,64.049004
1003220,-64.487,64.157997
1003221,-64.928001,64.264999
1003222,-65.372002,64.372002
1003223,-65.82,64.476997
1003224,-66.271004,64.581001
1003225,-66.725998,64.682999
1003226,-67.183998,64.783997
1003227,-67.644997,64.883003
1004000,-17.955999,25.988001
1004001,-18.059,26.188
1004002,-18.162001,26.386999
1004003,-18.266001,26.587
1004004,-18.368999,26.785999
1004005,-18.473,26.986
1004006,-18.577999,27.184999
1004007,-18.683001,27.384001
1004008,-18.788,27.584
1004009,-18.893999,27.783001
1004010,-19.0,27.982
1004011,-19.106001,28.181
1004012,-19.212999,28.379999
1004013,-19.32,28.577999
1004014,-19.427999,28.777
1004015,-19.535999,28.976
1004016,-19.643999,29.174
1004017,-19.753,29.372999
1004018,-19.862,29.570999
1004019,-19.972,29.768999
1004020,-20.082001,29.968
1004021,-20.193001,30.166
1004022,-20.304001,30.364
1004023,-20.415001,30.562
1004024,-20.527,30.759001
1004025,-20.639,30.957001
1004026,-20.752001,31.155001
1004027,-20.865999,31.351999
1004028,-20.979,31.549999
1004029,-21.094,31.747
1004030,-21.208,31.944
1004031,-21.323999,32.140999
1004032,-21.438999,32.338001
1004033,-21.556,32.535
1004034,-21.673,32.731998
1004035,-21.790001,32.929001
1004036,-21.908001,33.125
1004037,-22.025999,33.321999
1004038,-22.145,33.518002
1004039,-22.264,33.714001
1004040,-22.384001,33.910999
1004041,-22.504999,34.106998
1004042,-22.625999,34.301998
1004043,-22.747999,34.498001
1004044,-22.870001,34.694
1004045,-22.993,34.889
1004046,-23.115999,35.084999
1004047,-23.24,35.279999
1004048,-23.365,35.474998
1004049,-23.49,35.669998
1004050,-23.615999,35.865002
1004051,-23.742001,36.060001
1004052,-23.868999,36.254002
1004053,-23.997,36.449001
1004054,-24.125,36.643002
1004055,-24.254,36.838001
1004056,-24.384001,37.032001
1004057,-24.514,37.226002
1004058,-24.645,37.418999
1004059,-24.777,37.612999
1004060,-24.909,37.806
1004061,-25.042,38.0
