,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2013,MV,Küsten und Binnenschiffahrt,,,,,,,,,,,171.8,,,,,,,,,,,,,,,,10.4,,,,,,,,,182.2
2013,MV,Verkehr insgesamt,,,,,,0.0,,,,15588.4,27193.7,148.7,,,,,574.3,,,,121.5,,,,,,2434.6,,,,1077.0,,,,,47138.2
2013,MV,Haushalte,,,,,,,,,,,,,,,,,,,,,17766.5,,,,,,1791.0,,,601.0,8388.5,,5790.4,,,34337.3
2013,MV,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,5413.0,,,,,,,,,,9469.0,,,,,,346.4,,,,8616.2,,2122.4,,,25966.9
2013,MV,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",18.4,,,,1012.3,233.9,,,,435.4,5413.0,,9073.7,,,,2883.6,,,,27235.5,,,,,205.2,2137.4,,,601.0,17004.6,,7912.8,,,74166.7
2014,MV,Endenergieverbrauch,139.4,,118.2,,,795.1,725.8,,,15631.9,33123.7,250.5,9343.7,52.8,,4.0,3260.9,,,,32026.6,,,,,225.0,9003.2,,,610.0,24510.9,,9483.7,,,139305.5
2014,MV,Gewinngung und verarbeitendes Gewerbe,125,,118.2,,,1.5,438.9,,,,66.0,0.0,312.4,52.8,,4.0,69.0,,,,7641.1,,,,,,4738.6,,,,6546.9,,2532.7,,,22647.0
2014,MV,Schienenverkehr,,,,,,,,,,,1181.4,,,,,,,,,,,,,,,,72.0,,,,984.6,,,,,2238.0
2014,MV,Straßenverkehr,,,,,,,,,,15196.5,26205.6,,,,,,522.6,,,,122.2,,,,,,2350.6,,,,,,,,,44397.6
2014,MV,Luftverkehr,,,,,,,,,,,,250.5,,,,,,,,,,,,,,,,,,,,,,,,250.5
2014,MV,Küsten und Binnenschiffahrt,,,,,,,,,,,171.8,,,,,,,,,,,,,,,,10.5,,,,,,,,,182.3
2014,MV,Verkehr insgesamt,,,,,,,,,,15196.5,27558.8,250.5,,,,,522.6,,,,122.2,,,,,,2433.1,,,,984.6,,,,,47068.4
2014,MV,Haushalte,,,,,,,,,,,,,,,,,,,,,14581.8,,,,,,1478.3,,,610.0,8302.0,,5151.5,,,30123.6
2014,MV,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,5498.9,,,,,,,,,,9681.6,,,,,,353.2,,,,8677.3,,1799.6,,,26010.5
2014,MV,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",14.4,,,,,793.6,286.9,,,435.4,5498.9,,9031.4,,,,2669.3,,,,24263.4,,,,,225.0,1831.5,,,610.0,16979.3,,6951.1,,,69590.1
2012,BY,Endenergieverbrauch,.,0.0,.,,65.438592,7401.094498,0.0,0.0,0.0,128514.314462839,241210.716672205,58356.8397125938,153241.017997555,1388.52008309419,0.0,2937.10332801511,15711.0,0.0,0.0,,290538.077023428,,211.798654759303,0.0,,,93338.7333208384,,2746.683115,37219.110015093,307109.664576,0.0,47000.5252,,12974.1312120107,1410494.96092034
